"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Scott Glennie",2009,"2000s","Dallas Stars",8,"Top 10","CA","RW","Skater",1,0,0.00,"Brief NHL Career"
"Larry Wright",1971,"Pre-1980","Philadelphia Flyers",8,"Top 10","CA","C","Skater",106,12,-2.10,"Brief NHL Career"
"Philip Broberg",2019,"2010s","Edmonton Oilers",8,"Top 10","SE","D","Skater",23,3,0.00,"Brief NHL Career"
"Jack Quinn",2020,"2020s","Buffalo Sabres",8,"Top 10","CA","RW","Skater",2,2,0.20,"Brief NHL Career"
"Alexander Burmistrov",2010,"2010s","Atlanta Thrashers",8,"Top 10","RU","C","Skater",348,101,4.90,"Brief NHL Career"
"Alexander Nylander",2016,"2010s","Buffalo Sabres",8,"Top 10","CA","LW","Skater",84,32,2.40,"Brief NHL Career"
"Johnathan Aitken",1996,"1990s","Boston Bruins",8,"Top 10","CA","D","Skater",44,1,0.00,"Brief NHL Career"
"Terry Ryan",1995,"1990s","Montreal Canadiens",8,"Top 10","CA","LW","Skater",8,0,-0.20,"Brief NHL Career"
"Scott Campbell",1977,"Pre-1980","St. Louis Blues",9,"Top 10","CA","D","Skater",80,25,3.70,"Brief NHL Career"
"Brian Lee",2005,"2000s","Ottawa Senators",9,"Top 10","United States","D","Skater",209,36,4.80,"Brief NHL Career"
"Michael Rasmussen",2017,"2010s","Detroit Red Wings",9,"Top 10","CA","C","Skater",182,57,2.80,"Brief NHL Career"
"Vitali Kravtsov",2018,"2010s","New York Rangers",9,"Top 10","RU","RW","Skater",20,4,0.00,"Brief NHL Career"
"Brent Krahn",2000,"2000s","Calgary Flames",9,"Top 10","CA","G","Goalie",1,0,-0.20,"Brief NHL Career"
"Brett Lindros",1994,"1990s","New York Islanders",9,"Top 10","CA","RW","Skater",51,7,-0.90,"Brief NHL Career"
"Ron Plumb",1970,"Pre-1980","Boston Bruins",9,"Top 10","CA","D","Skater",26,7,1.80,"Brief NHL Career"
"Petr Taticek",2002,"2000s","Florida Panthers",9,"Top 10","CZ","C","Skater",3,0,0.00,"Brief NHL Career"
"Craig Duncanson",1985,"1980s","Los Angeles Kings",9,"Top 10","CA","LW","Skater",38,9,-0.30,"Brief NHL Career"
"Robert Petrovicky",1992,"1990s","Hartford Whalers",9,"Top 10","SK","C","Skater",208,65,3.70,"Brief NHL Career"
"Marco Rossi",2020,"2020s","Minnesota Wild",9,"Top 10","AT","C","Skater",2,0,-0.10,"Brief NHL Career"
"James Sheppard",2006,"2000s","Minnesota Wild",9,"Top 10","CA","C","Skater",394,91,3.00,"Brief NHL Career"
"Cole Perfetti",2020,"2020s","Winnipeg Jets",10,"Top 10","CA","C","Skater",18,7,0.50,"Brief NHL Career"
"Lance Ward",1996,"1990s","New Jersey Devils",10,"Top 10","CA","D","Skater",209,16,2.70,"Brief NHL Career"
"Michel Parizeau",1965,"Pre-1980","New York Rangers",10,"Top 10","CA","C","Skater",58,17,0.10,"Brief NHL Career"
"Dylan McIlrath",2010,"2010s","New York Rangers",10,"Top 10","CA","D","Skater",66,5,1.90,"Brief NHL Career"
"Owen Tippett",2017,"2010s","Florida Panthers",10,"Top 10","CA","RW","Skater",115,40,2.70,"Brief NHL Career"
"Jocelyn Lemieux",1986,"1980s","St. Louis Blues",10,"Top 10","CA","RW","Skater",598,164,3.80,"Brief NHL Career"
"Boris Valabik",2004,"2000s","Atlanta Thrashers",10,"Top 10","SK","D","Skater",80,7,0.20,"Brief NHL Career"
"Dan Gratton",1985,"1980s","Los Angeles Kings",10,"Top 10","CA","C","Skater",7,1,0.00,"Brief NHL Career"
"Luc Bourdon",2005,"2000s","Vancouver Canucks",10,"Top 10","CA","D","Skater",36,2,1.50,"Brief NHL Career"
"Mikhail Yakubov",2000,"2000s","Chicago Blackhawks",10,"Top 10","RU","C","Skater",53,12,-0.10,"Brief NHL Career"
"Normand Lacombe",1983,"1980s","Buffalo Sabres",10,"Top 10","CA","RW","Skater",319,115,3.90,"Brief NHL Career"
"Vasily Podkolzin",2019,"2010s","Vancouver Canucks",10,"Top 10","RU","RW","Skater",79,26,2.50,"Brief NHL Career"
