"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Justin Braun",2007,"2000s","San Jose Sharks",201,"Round 5+","United States","D","Skater",791,197,41.00,"Solid NHL Player"
"Brent Sopel",1995,"1990s","Vancouver Canucks",144,"Round 5+","CA","D","Skater",659,218,40.90,"Solid NHL Player"
"Steve Weeks",1978,"Pre-1980","New York Rangers",176,"Round 5+","CA","G","Goalie",291,7,40.30,"Solid NHL Player"
"Tom Gilbert",2002,"2000s","Colorado Avalanche",129,"Round 5+","United States","D","Skater",655,223,40.00,"Solid NHL Player"
"Richard Zednik",1994,"1990s","Washington Capitals",249,"Round 5+","SK","RW","Skater",745,379,40.00,"Solid NHL Player"
"Steve Shields",1991,"1990s","Buffalo Sabres",101,"Round 4","CA","G","Goalie",246,2,39.40,"Solid NHL Player"
"David Aebischer",1997,"1990s","Colorado Avalanche",161,"Round 5+","CH","G","Goalie",214,5,39.10,"Solid NHL Player"
"Dallas Drake",1989,"1980s","Detroit Red Wings",116,"Round 4","CA","RW","Skater",1009,477,38.70,"Solid NHL Player"
"Andrew Raycroft",1998,"1990s","Boston Bruins",135,"Round 5+","CA","G","Goalie",280,3,38.60,"Solid NHL Player"
"Mike Krushelnyski",1979,"Pre-1980","Boston Bruins",120,"Round 4","CA","LW/C","Skater",897,569,38.40,"Solid NHL Player"
"Greg Stefan",1981,"1980s","Detroit Red Wings",128,"Round 4","CA","G","Goalie",299,15,38.40,"Solid NHL Player"
"Alexander Karpovtsev",1990,"1990s","Quebec Nordiques",158,"Round 5+","RU","D","Skater",596,188,38.20,"Solid NHL Player"
"Roman Cechmanek",2000,"2000s","Philadelphia Flyers",171,"Round 5+","CZ","G","Goalie",212,1,38.10,"Solid NHL Player"
"Jason Chimera",1997,"1990s","Edmonton Oilers",121,"Round 4","CA","LW","Skater",1107,415,37.90,"Solid NHL Player"
"Kris Versteeg",2004,"2000s","Boston Bruins",134,"Round 5+","CA","RW","Skater",643,358,37.90,"Solid NHL Player"
"Greg Hawgood",1986,"1980s","Boston Bruins",202,"Round 5+","CA","D","Skater",474,224,37.60,"Solid NHL Player"
"Igor Ulanov",1991,"1990s","Winnipeg Jets",203,"Round 5+","RU","D","Skater",739,162,37.30,"Solid NHL Player"
"Mathieu Perreault",2006,"2000s","Washington Capitals",177,"Round 5+","CA","C","Skater",708,352,37.20,"Solid NHL Player"
"Matt Cooke",1997,"1990s","Vancouver Canucks",144,"Round 5+","CA","C","Skater",1046,398,36.90,"Solid NHL Player"
"Gerard Gallant",1981,"1980s","Detroit Red Wings",107,"Round 4","CA","LW","Skater",615,480,36.90,"Solid NHL Player"
"Todd Marchant",1993,"1990s","New York Rangers",164,"Round 5+","United States","C","Skater",1195,498,36.20,"Solid NHL Player"
"Sami Vatanen",2009,"2000s","Anaheim Ducks",106,"Round 4","FI","D","Skater",473,200,36.20,"Solid NHL Player"
"Mario Lessard",1974,"Pre-1980","Los Angeles Kings",154,"Round 5+","CA","G","Goalie",240,6,36.10,"Solid NHL Player"
"Antero Niittymaki",1998,"1990s","Philadelphia Flyers",168,"Round 5+","FI","G","Goalie",234,3,36.10,"Solid NHL Player"
"Ryan Malone",1999,"1990s","Pittsburgh Penguins",115,"Round 4","United States","LW","Skater",647,370,36.00,"Solid NHL Player"
"Mikael Samuelsson",1998,"1990s","San Jose Sharks",145,"Round 5+","SE","RW","Skater",699,346,35.70,"Solid NHL Player"
"Scott Walker",1993,"1990s","Vancouver Canucks",124,"Round 4","CA","RW","Skater",829,397,35.50,"Solid NHL Player"
"German Titov",1993,"1990s","Calgary Flames",252,"Round 5+","RU","LW","Skater",624,377,35.50,"Solid NHL Player"
"Curtis McElhinney",2002,"2000s","Calgary Flames",176,"Round 5+","CA","G","Goalie",249,4,35.20,"Solid NHL Player"
"Ian White",2002,"2000s","Toronto Maple Leafs",191,"Round 5+","CA","D","Skater",503,179,35.20,"Solid NHL Player"
"Randy Burridge",1985,"1980s","Boston Bruins",157,"Round 5+","CA","LW","Skater",706,450,35.10,"Solid NHL Player"
"Troy Brouwer",2004,"2000s","Chicago Blackhawks",214,"Round 5+","CA","RW","Skater",851,363,34.80,"Solid NHL Player"
"Viktor Arvidsson",2014,"2010s","Nashville Predators",112,"Round 4","SE","LW","Skater",451,288,34.80,"Solid NHL Player"
"Brian Savage",1991,"1990s","Montreal Canadiens",171,"Round 5+","CA","LW","Skater",674,359,34.60,"Solid NHL Player"
"Murray Baron",1986,"1980s","Philadelphia Flyers",167,"Round 5+","CA","D","Skater",988,129,34.50,"Solid NHL Player"
"Roman Polak",2004,"2000s","St. Louis Blues",180,"Round 5+","CZ","D","Skater",806,140,34.20,"Solid NHL Player"
"Kyle Quincey",2003,"2000s","Detroit Red Wings",132,"Round 5+","CA","D","Skater",586,158,34.20,"Solid NHL Player"
"Hakan Loob",1980,"1980s","Calgary Flames",181,"Round 5+","SE","RW","Skater",450,429,34.20,"Solid NHL Player"
"Ladislav Nagy",1997,"1990s","St. Louis Blues",177,"Round 5+","SK","LW","Skater",435,311,34.10,"Solid NHL Player"
"Alexei Gusarov",1988,"1980s","Quebec Nordiques",213,"Round 5+","RU","D","Skater",607,167,34.00,"Solid NHL Player"
"Ken Klee",1990,"1990s","Washington Capitals",177,"Round 5+","United States","D","Skater",934,195,33.90,"Solid NHL Player"
"Marty McInnis",1988,"1980s","New York Islanders",163,"Round 5+","United States","RW","Skater",796,420,33.80,"Solid NHL Player"
"Tim Watters",1979,"Pre-1980","Winnipeg Jets",124,"Round 4","CA","D","Skater",741,177,33.70,"Solid NHL Player"
"Andrei Kovalenko",1990,"1990s","Quebec Nordiques",148,"Round 5+","RU","RW","Skater",620,379,33.50,"Solid NHL Player"
"Darren Turcotte",1986,"1980s","New York Rangers",114,"Round 4","United States","C","Skater",635,411,33.50,"Solid NHL Player"
"Ron Low",1970,"Pre-1980","Toronto Maple Leafs",103,"Round 4","CA","G","Goalie",382,8,33.40,"Solid NHL Player"
"Sergei Berezin",1994,"1990s","Toronto Maple Leafs",256,"Round 5+","RU","LW","Skater",502,286,33.00,"Solid NHL Player"
"Carl Gunnarsson",2007,"2000s","Toronto Maple Leafs",194,"Round 5+","SE","D","Skater",629,138,32.70,"Solid NHL Player"
"Nick Bonino",2007,"2000s","San Jose Sharks",173,"Round 5+","United States","C","Skater",761,334,32.40,"Solid NHL Player"
"Ryane Clowe",2001,"2000s","San Jose Sharks",175,"Round 5+","CA","LW","Skater",491,309,32.10,"Solid NHL Player"
"Karlis Skrastins",1998,"1990s","Nashville Predators",230,"Round 5+","LV","D","Skater",832,136,32.10,"Solid NHL Player"
"Rick Zombo",1981,"1980s","Detroit Red Wings",149,"Round 5+","United States","D","Skater",652,154,32.00,"Solid NHL Player"
"Danny Markov",1995,"1990s","Toronto Maple Leafs",223,"Round 5+","RU","D","Skater",538,147,31.90,"Solid NHL Player"
"Brett Clark",1996,"1990s","Montreal Canadiens",154,"Round 5+","CA","D","Skater",689,186,31.70,"Solid NHL Player"
"Andrew MacDonald",2006,"2000s","New York Islanders",160,"Round 5+","CA","D","Skater",586,161,31.30,"Solid NHL Player"
"Bryce Salvador",1994,"1990s","Tampa Bay Lightning",138,"Round 5+","CA","D","Skater",786,110,31.30,"Solid NHL Player"
"Sergei Makarov",1983,"1980s","Calgary Flames",231,"Round 5+","United States","RW","Skater",424,384,31.10,"Solid NHL Player"
"Aaron Broten",1980,"1980s","Colorado Rockies",106,"Round 4","United States","LW/C","Skater",748,515,30.90,"Solid NHL Player"
"Marc Methot",2003,"2000s","Columbus Blue Jackets",168,"Round 5+","CA","D","Skater",624,123,30.80,"Solid NHL Player"
"Mikhail Grabovski",2004,"2000s","Montreal Canadiens",150,"Round 5+","DE","C","Skater",534,296,30.70,"Solid NHL Player"
